Episode Number,Pitch Number,Brand,Idea,Investment Amount (In Lakhs INR) ,Debt (In lakhs INR),Equity,Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal,Season
1,1,BluePine Industries,Frozen Momos,75,0,18%,N,Y,N,Y,N,Y,N,1
1,2,Booz scooters,Renting e-bike for mobility in private spaces,40,0,50%,N,Y,N,N,N,Y,N,1
1,3,Heart up my Sleeves,Detachable Sleeves,25,0,30%,Y,N,N,N,N,Y,N,1
2,4,Tagz Foods,Healthy Potato Chips,70,0,2.75%,N,Y,N,N,N,N,N,1
2,5,Head and Heart,Brain Development Course,0,0,0,N,N,N,N,N,N,N,1
2,6,Agro tourism,Tourism,0,0,0,N,N,N,N,N,N,N,1
3,7,Qzense Labs,Food Freshness Detector,0,0,0,N,N,N,N,N,N,N,1
3,8,Peeschute,Disposable Urine Bag,75,0,6%,N,N,N,Y,N,N,N,1
3,9,NOCD,Energy Drink,20,30,15%,N,N,N,N,N,Y,N,1
4,10,Cosiq,Intelligent Skincare,50,0,25%,Y,N,N,N,N,Y,N,1
4,11,JhaJi Achaar,Pickle,0,0,0,N,N,N,N,N,N,N,1
4,12,Bummer,Underwear,75,0,7.50%,N,N,Y,Y,N,N,N,1
5,13,Revamp Moto,E-Bike,10,0,1.50%,Y,N,N,Y,N,N,N,1
5,14,Hungry Heads,Restaurant serving 80 types of Maggi,0,0,0,N,N,N,N,N,N,N,1
5,15,Shrawani Engineers,Belly Button Shaper,0,0,0,N,N,N,N,N,N,N,1
6,16,Skippi Pops,Ice-Pops,10,0,15%,Y,Y,Y,Y,N,Y,N,1
6,17,Menstrupedia,Menstrual Awareness Comic,50,0,20%,N,N,Y,N,N,N,N,1
6,18,Hecolll,Pollution Resistant Fabric,0,0,0,N,N,N,N,N,N,N,1
7,19,Raising Superstars,Child Development App,10,0,4%,N,Y,N,Y,N,N,N,1
7,20,Torch-it,Gadgets for visually impaired people,0,0,0,N,N,N,N,N,N,N,1
7,21,La Kheer Deli,Kheer in variety of flavors,0,0,0,N,N,N,N,N,N,N,1
8,22,Beyond Snack,Kerala Banana Chips,50,0,2.50%,N,Y,N,Y,N,N,N,1
8,23,Vivalyf Innovations- Easy Life,Prickless Diabetes Testing Machine,56,0,33.30%,Y,N,N,N,Y,N,N,1
8,24,Motion Breeze,Smart Electric Motorcycle,30,0,6%,N,Y,N,N,N,N,N,1
9,25,Altor,Smart Helmets,50,0,7%,N,N,Y,Y,N,N,N,1
9,26,Ariro,Wooden Toys,50,0,10%,N,N,N,Y,Y,N,N,1
9,27,Kabira Handmade,Healthy Oils,0,0,0,N,N,N,N,N,N,N,1
10,28,Nuutjob,Male Intimate Hygiene,25,0,20%,N,N,Y,Y,Y,N,N,1
10,29,Meatyour,Eggs,30,0,20%,Y,N,N,Y,Y,N,N,1
10,30,EventBeep,Student Community App,30,0,3%,N,Y,N,Y,Y,N,N,1
11,31,Gopal's 56,Fiber Ice Cream,0,0,0,N,N,N,N,N,N,N,1
11,32,ARRCOAT Surface Textures,Wall Building,50,0,15%,Y,N,N,N,N,N,N,1
11,33,Farda,Customised Streetwear,30,0,20%,N,N,Y,Y,N,N,N,1
12,34,Auli Lifestyle,Ayurvedic Products,75,0,5%,N,N,Y,N,N,N,N,1
12,35,SweeDesi,Indian Sweets,0,0,0,N,N,N,N,N,N,N,1
12,36,LOKA,Metaverse App,40,0,24%,Y,N,N,Y,Y,N,N,1
13,37,Annie,Braille Literary Device,10,0,3%,Y,N,Y,N,Y,N,N,1
13,38,Caragreen,Eco-Friendly boxes,50,0,20%,Y,N,N,N,Y,N,N,1
13,39,The Yarn Bazaar,Yarn-Trading App,10,0,10%,Y,Y,N,Y,Y,N,N,1
14,40,The Renal Project,Home Dialysis Treatment,10,0,6%,N,N,Y,Y,N,N,N,1
14,41,Morikko Pure Foods,Healthy Food Snacks,0,0,0,N,N,N,N,N,N,N,1
14,42,Good Good Piggy Bank,Digital Piggy Bank,0,0,0,N,N,N,N,N,N,N,1
15,43,Hammer Lifestyle,Smart Audio Products,10,0,40.00%,N,N,N,Y,N,N,N,1
15,44,PNT,Robotics and Automation Solutions,25,25,25.00%,N,N,N,N,Y,N,N,1
15,45,Cocofit,Coconut based beverage franchise,5,0,5.00%,Y,N,Y,Y,N,N,N,1
16,46,Bamboo India,Bamboo Products,50,30,3.50%,Y,Y,N,N,N,N,N,1
16,47,Flying Furr,Dog Hygiene,0,0,0,N,N,N,N,N,N,N,1
16,48,Beyond Water,Liquid Water Enhancer,75,0,15.00%,N,N,Y,Y,N,N,N,1
16,49,Let's Try,Healthy Snacks,45,0,12.00%,Y,N,N,Y,N,N,N,1
17,50,Find Your Kicks India,Sneaker Resale,50,0,25.00%,Y,Y,Y,Y,Y,N,N,1
17,51,Aas Vidyalaya,EdTech App,15,0,15.00%,N,Y,Y,N,Y,N,N,1
17,52,Outbox,Premium Surprise-Planning,0,0,0,N,N,N,N,N,N,N,1
17,53,RoadBounce,Pothole Detection Software and Data,80,0,20.00%,N,N,N,N,Y,N,N,1
18,54,Mommy's Kitchen,Thin Crust Pizza,0,0,0,N,N,N,N,N,N,N,1
18,55,India Hemp and Co,Hemp Food Products,0,0,0,N,N,N,N,N,N,N,1
18,56,Otua,Electric Auto Vehicle,1,99,1.00%,N,Y,N,N,N,N,N,1
18,57,Anthyesti,Funeral Service,0,0,0,N,N,N,N,N,N,N,1
19,58,Ethik,Leather-free Shoes,0,0,0,N,N,N,N,N,N,N,1
19,59,WeSTOCK,Livestock health monitoring AI,60,0,10.00%,N,Y,Y,Y,Y,N,N,1
19,60,KetoIndia,Customised Keto Diets for various medical issues,0,0,0,N,N,N,N,N,N,N,1
19,61,Magic lock,LPG Cylinder lock,0,0,0,N,N,N,N,N,N,N,1
20,62,The State Plate,Delicacies,40,25,3.00%,N,N,N,N,Y,N,N,1
20,63,Bakarmax,Comics & Animation,0,0,0,N,N,N,N,N,N,N,1
20,64,IN A CAN,Can Cocktails,10,0,10.00%,Y,Y,Y,Y,Y,N,N,1
21,65,Get a Whey,Sugar-Free Icecream,10,0,15.00%,N,Y,N,Y,N,Y,N,1
21,66,Sid07 Designs,Inventions,25,22,75.00%,N,N,N,N,Y,N,N,1
21,67,The Quirky Nari,Customised Apparels,35,0,24.00%,Y,N,N,N,N,Y,N,1
22,68,Hair Originals,Natural Hair Extensions,60,0,4.00%,Y,Y,N,N,Y,N,N,1
22,69,Poo de Cologne,Toilet Spray with Essential Oils,0,0,0,N,N,N,N,N,N,N,1
22,70,Moonshine Meads,Meads,0,0,0,N,N,N,N,N,N,N,1
22,71,Falhari,Fresh Fruits,0,0,0,N,N,N,N,N,N,N,1
23,72,Namhya Foods,Ayurvedic Enriched Food,50,50,10.00%,N,N,N,Y,N,N,N,1
23,73,Urban Monkey,Streetwear,0,0,0,N,N,N,N,N,N,N,1
23,74,Guardian Gears,Motorcycle Luggage,0,0,0,N,N,N,N,N,N,N,1
23,75,Modern Myth,Bags,0,0,0,N,N,N,N,N,N,N,1
24,76,The Sass Bar,Gifts,50,0,35.00%,Y,N,N,N,N,N,Y,1
24,77,KG Agrotech,Agricultural Innovations,10,20,40.00%,N,N,N,N,Y,N,N,1
24,78,Nuskha Kitchen,Homemade Foods,0,0,0,N,N,N,N,N,N,N,1
25,79,PawsIndia,Dog Products,50,0,15.00%,Y,N,N,N,N,N,N,1
25,80,Sunfox Technologies,Portable ECG Device,10,0,6.00%,Y,N,Y,N,Y,Y,Y,1
25,81,Alpino,Roasted Peanut Products,0,0,0,N,N,N,N,N,N,N,1
26,82,Isak Fragrances,Perfumes,50,0,50.00%,N,N,N,N,Y,N,N,1
26,83,Julaa Automation,Automatic Cradle,0,0,0,N,N,N,N,N,N,N,1
26,84,Rare Planet,Handicrafts,65,0,30.00%,N,N,Y,N,N,N,N,1
27,85,Theka Coffee,Coffee Products,0,0,0,N,N,N,N,N,N,N,1
27,86,Watt Technovations,Ventilated PPE Kits,10,0,4.00%,Y,N,Y,N,Y,N,Y,1
27,87,Aliste Technologies,Automation Solutions,0,0,0,N,N,N,N,N,N,N,1
27,88,Insurance Samadhan,Insurance Solutions,10,0,4.00%,N,N,N,N,Y,N,N,1
28,89,Humpy A2,Organic Milk Products,10,0,15.00%,N,N,N,N,Y,Y,Y,1
28,90,Kunafa World,Kunafa,0,0,0,N,N,N,N,N,N,N,1
28,91,Gold Safe Solutions Ind.,Anti-Suicidal Fan Rod,50,0,30.00%,N,N,N,N,Y,Y,Y,1
29,92,Wakao Foods,Jackfruit Products,75,0,21.00%,N,N,Y,N,N,Y,Y,1
29,93,PDD Falcon,Stainless Steel Items,0,0,0,N,N,N,N,N,N,N,1
29,94,PlayBox TV,Streaming Platform,0,0,0,N,N,N,N,N,N,N,1
30,95,Sippline Drinking Shields,Portable Glass Attachment,0,0,0,N,N,N,N,N,N,N,1
30,96,Kabaddi Adda,All-Kabaddi App,80,0,6.00%,N,N,Y,N,N,Y,N,1
30,97,Shades of Spring,Flowers,0,0,0,N,N,N,N,N,N,N,1
30,98,Scholify,Scholarship Platform,0,0,0,N,N,N,N,N,N,N,1
31,99,Scrapshala,Handmade Reusable Scrap Materials,0,0,0,N,N,N,N,N,N,N,1
31,100,Sabjikothi,Vegetables Storage,0,0,0,N,N,N,N,N,N,N,1
31,101,AyuRythm,Ayurvedic Wellness App,75,0,2.68%,N,N,N,Y,N,N,N,1
31,102,Astrix,Smart Locks,0,0,0,N,N,N,N,N,N,N,1
32,103,Thea and Sid,Proposal Solutions,0,0,0,N,N,N,N,N,N,N,1
32,104,Experential Etc,Technology layered Advertisement Services,0,0,0,N,N,N,N,N,N,N,1
32,105,GrowFitter,Rewards App,50,0,2.00%,N,N,N,Y,N,N,N,1
32,106,Med Tech,Portable opthalmic devices,0,0,0,N,N,N,N,N,N,N,1
33,107,Colour Me Mad,Insoles,40,0,25.00%,N,N,Y,N,N,N,N,1
33,108,Mavi's,Vegan Fermented Food,0,0,0,N,N,N,N,N,N,N,1
33,109,Tweek Labs,Sportswear,60,0,10.00%,Y,Y,N,N,Y,N,N,1
33,110,Proxgy,VR,10,0,10.00%,N,Y,N,N,Y,N,N,1
34,111,Nomad Food Project,Bacon Jams,40,0,20.00%,N,Y,Y,N,N,Y,Y,1
34,112,Twee in One,Reversible and convertible clothing,0,0,0,N,N,N,N,N,N,N,1
34,113,Green Protein,Plant-Based Protein,0,0,0,N,N,N,N,N,N,N,1
34,114,On2Cook,Fastest Cooking Device,0,0,0,N,N,N,N,N,N,N,1
35,115,Jain Shikanji,Lemonade,40,0,30.00%,Y,Y,N,Y,N,Y,N,1
35,116,Woloo,Washroom Finder,0,0,0,N,N,N,N,N,N,N,1
35,117,Elcare India,Carenting for Elders,0,0,0,N,N,N,N,N,N,N,1
